12.9.1986  Big Country; Jäähalli, Helsinki [C]
17.10.2009 Sansa (akustinen); Korjaamo [C]
17.10.2009 Alavala; Semifinal [C]
22.10.2009 Viisi; Sellosali [C]
22.10.2009 Silhuetti, Sae; Feeniks-klubi [C]
23.10.2009 Muusa, Anna Puu; Nosturi [C]
6.11.2009  Marillion; Tavastia [C]
11.11.2009 Show What; Aleksanterinteatteri
11.11.2009 Indica; On The Rocks [C]
12.11.2009 Pink; Hartwall Areena [C]
16.11.2009 The Nits; Savoy-teatteri [C]
20.11.2009 Chisu; Rautatieasema [MC]
20.11.2009 Sansa; Levykauppa Äx [C]
24.11.2009 Nuria, Korpi Ensemble; Semifinal [C]
25.11.2009 Apulanta; Tavastia [C]
30.11.2009 Alavala, Pyhät Tepot; On The Rocks [C]
1.12.2009  Chisu; Tavastia [C]
3.12.2009  Petra; Club Liberté [C]
4.12.2009  Irina; Virgin Oil Co. [C]
5.12.2009  Alavala; Vanhakartanon navetta [C]
11.12.2009 Indica; Masalan monitoimitalo, Masala [C]
13.12.2009 Viisi; Valkoinen sali [C]
17.12.2009 Sansa, Steafan Hanvey; Club Liberté [C]
19.12.2009 Lauri Tähkä & Elonkerjuu; Tavastia [C]
19.12.2009 Pohjolan Ilmari; Semifinal [C]
26.12.2009 Scandinavian Music Group; Tavastia [C]
1.1.2010   PMMP; On The Rocks [C]
2.1.2010   Manna; Tavastia [C]
5.1.2010   Tarharyhmä; Tavastia [C]
6.1.2010   Vesterinen yhtyeineen; Tavastia [C]
13.1.2010  The Wrecking Queens; Tavastia [C]
20.1.2010  Sansa, Tuomo; Tavastia [C]
26.1.2010  Husky Rescue; Levykauppa Äx [C]
26.1.2010  Anna Suominen; Mascot [C]
3.2.2010   Irina; Sellosali [C]
4.2.2010   Alavala, Monday Box; Club Liberté [C]
8.2.2010   Fuerteventura, Hold'Em; On The Rocks [C]
10.2.2010  Husky Rescue; Tavastia [C]
12.2.2010  Irina; YO-talo, Tampere [C]
15.2.2010  Lacuna Coil; Nosturi [C]
16.2.2010  Play Me; Svenska Teatern
20.2.2010  Sansa, The Latebirds; Semifinal [C]
20.2.2010  Pintandwefall; Tavastia [C]
23.2.2010  Haitille kans!: Chisu, Anna Puu, Olavi Uusivirta; Tavastia [MC]
26.2.2010  Chisu; DTM [C]
27.2.2010  La Fiamma di Danza; Malmitalo
27.2.2010  Irina; Tavastia [C]
3.3.2010   Fuerteventura, Hold'Em; Semifinal [C]
5.3.2010   Sansa, The Tiny; Belly [C]
9.3.2010   Viola, The Firsts; Semifinal [C]
10.3.2010  Viisi; Painobaari [C]
10.3.2010  Lauri Tähkä & Elonkerjuu; Tavastia [C]
11.3.2010  Haloo Helsinki!; On The Rocks [C]
13.3.2010  Anna Suominen; Synttärit [C]
19.3.2010  Chisu; Lohi, Lohja [C]
26.3.2010  Palava; Friday [C]
31.3.2010  Chisu; On The Rocks [C]
6.4.2010   Leone, Subrosa; Mascot [C]
10.4.2010  Jenni Vartiainen; Virgin Oil Co. [C]
14.4.2010  Reeta Vestman (Broadway Stories), Leone, Springwheels; Semifinal [C]
17.4.2010  Stina Girs & T for Texas Hold'Em; Swengi, Järvenpää [C]
21.4.2010  Maija Vilkkumaa; Semifinal [C]
22.4.2010  Maija Vilkkumaa; Levykauppa Äx [C]
5.5.2010   Adora; Semifinal [C]
5.5.2010   Leone, Leola; Club Liberté [C]
7.5.2010   Viisi, Suvi Isotalo; Korjaamo [C]
10.5.2010  Anna Suominen, Aili Järvelä & Co; Club Liberté [C]
12.5.2010  Chisu; Louhisali, Kultuurikeskus [C]
14.5.2010  Chisu; Heven, Järvenpää [C]
17.5.2010  Leola; On The Rocks [C]
22.5.2010  Maija Vilkkumaa; Tavastia [C]
26.5.2010  The Freza; Semifinal [C]
27.5.2010  Jenni Vartiainen; Tavastia [C]
2.6.2010   Indica (akustinen); Stockmann [MC]
3.6.2010   Viola; Semifinal [C]
3.6.2010   Indica; On The Rocks [C]
4.6.2010   Chisu; Tavastia [C]
4.6.2010   Iconcrash; Semifinal [C]
8.6.2010   Jukka Takalo (akustinen); Levykauppa Äx [C]
11.6.2010  Maija Vilkkumaa; Virgin Oil Co. [C]
18.6.2010  Manna; Tavastia [C]
2.7.2010   Riihimäkirock: Irina, Jenni Vartiainen, The Baseballs; Riihimäki [C]
15.7.2010  Tammerfest: Irina, Jenni Vartiainen; Vuolteentori, Tampere [C]
15.7.2010  Tammerfest: PMMP; Keskustori, Tampere [C]
15.7.2010  Tammerfest: Chisu; Senssi, Tampere [C]
23.7.2010  Ropecon 2010; Dipoli (3 days)
7.8.2010   Scandinavian Music Group; Klubi, Tampere [C]
11.8.2010  Leone, Sara Sayed, Suomen Zorro & Elämän paineet; Semifinal [C]
18.8.2010  Friends With Enemies; Alakerta [C]
21.8.2010  U2, Razorlight; Olympiastadion [C]
26.8.2010  PMMP; Tavastia [C]
4.9.2010   Wicked; Helsingin kaupunginteatteri
4.9.2010   Chisu, Anna Puu; Huvila-teltta [C]
8.9.2010   The Wrecking Queens; Bar Loose [C]
9.9.2010   Irina; Narinkka-tori [C]
18.9.2010  Iconcrash, Meadow Island; Tavastia [C]
23.9.2010  Paula Vesala + Pekka Kuusisto; Ateneum-sali [C]
23.9.2010  Amy MacDonald, Vesterinen yhtyeineen; Circus [C]
24.9.2010  Epica; Nosturi [C]
25.9.2010  Jonna Tervomaa (SähköDuo); Club Liberté [C]
1.10.2010  Anna Puu; Virgin Oil Co. [C]
6.10.2010  Chisu; Laurentius-sali, Lohja [C]
7.10.2010  Chisu; Malmitalo [C]
13.10.2010 Irina; Savoy-teatteri [C]
15.10.2010 Jonna Tervomaa (SähköDuo); Kustaa III, Tampere [C]
20.10.2010 Irina; Verkatehdas, Hämeenlinna [C]
21.10.2010 Chisu; Ateneum-sali [C]
21.10.2010 Leone; Bar Cuba [C]
23.10.2010 Indica; Roxy Concerts, Flemsburg, Germany [C]
24.10.2010 Indica; Knust, Hamburg, Germany [C]
28.10.2010 Chisu; Tavastia [C]
1.11.2010  Jenni Vartiainen; Akun tehdas, Tampere [C]
4.11.2010  Anna Suominen; Belly [C]
5.11.2010  Maija Vilkkumaa; Tavastia [C]
11.11.2010 Stalingrad Cowgirls; On The Rocks [C]
12.11.2010 Lauri Tähkä & Elonkerjuu; Circus [C]
17.11.2010 Viisi; Korjaamo [C]
19.11.2010 Sir Elwoodin hiljaiset värit; Tavastia [C]
20.11.2010 Maija Vilkkumaa; Viking Isabella [C]
24.11.2010 Chisu; Aleksanterinteatteri [C]
27.11.2010 Anna Suominen; Piano [C]
1.12.2010  Magenta Skycode; Tavastia [C]
4.12.2010  Viola, The Firsts; Painobaari [C]
10.12.2010 Maija Vilkkumaa; Bohemia [C]
11.12.2010 Scandinavian Music Group; Tavastia [C]
16.12.2010 Jenni Vartiainen; Tavastia [C]
17.12.2010 Viisi; Levykauppa Äx [MC]
17.12.2010 Jonna Tervomaa (SähköDuo); Semifinal [C]
18.12.2010 Indica; Nightlife, Lohja [C]
21.12.2010 Viisi (akustinen); Pyhän sydämen kappeli [C]
13.1.2011  Sansa; Korjaamo [C]
21.1.2011  Miip, Blue in the Face; Alakerta [C]
26.1.2011  Espionnage, Twincity; Club Liberté [C]
25.2.2011  Pintandwefall; Tavastia [C]
3.3.2011   The Ark; Tavastia [C]
4.3.2011   The Ark; Tavastia [C]
5.3.2011   Kristiina Wheeler (akustinen); Kamppi [MC]
5.3.2011   Saara Aalto; Kanneltalo [C]
10.3.2011  Leone; Bar Cuba [C]
23.3.2011  Angelina Gracie, Freaks of the Revolution; On The Rocks [C]
25.3.2011  Euforia, Penniless; Semifinal [C]
29.3.2011  Lissie; Virgin Oil Co. [C]
6.4.2011   Kaavoitetulla alueella; Valtimoteatteri
8.4.2011   Muskettisoturit; Peacock
13.4.2011  Leone, Hra Apatia, Jericho Fuzz; On The Rocks [MC]
15.4.2011  Big Country, Mike Marlin; Shepherds Bush Empire, London, The United Kingdom [C]
16.4.2011  We Will Rock You; Dominion Theatre, London, The United Kingdom
21.4.2011  Teekkarispeksi 2011: Cirque; Aleksanterinteatteri
27.4.2011  Haloo Helsinki!; Tavastia [C]
28.4.2011  Viisi; Painobaari [MC]
28.4.2011  Sansa; Semifinal [C]
29.4.2011  Jenni Vartiainen, Sansa; Nosturi [C]
2.5.2011   Scandinavian Music Group (acoustic); Levykauppa Äx [C]
24.5.2011  Dances of Zambia; The Arts Cafe, Livingstone, Zambia
28.5.2011  Stella; Tavastia [C]
2.6.2011   Jonna Tervomaa (SähköDuo); Le Bonk [C]
3.6.2011   Viola; Semifinal [C]
11.6.2011  Anna Puu; Tavastia [C]
17.6.2011  Jenni Vartiainen; Virgin Oil Co. [C]
29.6.2011  Sansa; Kokomo Tiki Bar [C]
2.7.2011   Irina; Keskustori, Tampere [C]
9.7.2011   Scandinavian Music Group; Aurlahden ranta, Lohja [C]
14.7.2011  The Ark; Keskustori, Tampere [C]
15.7.2011  Maija Vilkkumaa; Sirkus, Hämeenlinna [C]
18.7.2011  Roxette; Saku Suurhall, Tallinn, Estonia [C]
29.7.2011  Alavala, The Satellites of Love; Semifinal [C]
29.7.2011  Ropecon 2011; Dipoli (3 days)
12.8.2011  Irina; Virgin Oil Co. [C]
18.8.2011  Maija Vilkkumaa; Tavastia [C]
19.8.2011  Maija Vilkkumaa; Tavastia [C]
20.8.2011  Maija Vilkkumaa, Jenni Vartiainen; Linnan puisto, Turku [C]
25.8.2011  Viisi (feat. Mikael Konttinen); Painobaari [C]
27.8.2011  Jenni Vartiainen; Kansallisteatteri [C]
3.9.2011   Scandinavian Music Group; Tavastia [C]
7.9.2011   The Irrationals; Levykauppa Äx [C]
15.9.2011  Viisi (feat. Hanna Pakarinen); Painobaari [C]
16.9.2011  Staalon kaato; Korjaamo [C]
20.9.2011  Blackmore's Night; Finlandia-talo [C]
22.9.2011  Sansa, The Irrationals; Tavastia [C]
23.9.2011  Iconcrash; Bar Bäkkäri [C]
28.9.2011  Tori Amos; Jäähalli [C]
6.10.2011  Viisi (feat. Tuure Kilpeläinen); Painobaari [C]
15.10.2011 Scandinavian Music Group; EMMA [C]
19.10.2011 Scandinavian Music Group; Savoy-teatteri [C]
22.10.2011 Sansa, Suvi Isotalo; Korjaamo [C]
26.10.2011 Club For Five; Virgin Oil Co. [C]
27.10.2011 Within Temptation; Fryshuset, Stockholm, Sweden [C]
8.11.2011  Roxette; Hartwall Areena [C]
9.11.2011  Chisu; Tavastia [C]
10.11.2011 Chisu; Tavastia [C]
16.11.2011 Angelina Gracie; Alakerta [C]
16.11.2011 Kristiina Wheeler; Le Bonk [C]
18.11.2011 Stella; Circus [C]
23.11.2011 Chisu; Martinus-sali [C]
24.11.2011 Chisu; Järvenpää-talo, Järvenpää [C]
24.11.2011 The Irrationals; Kokomo Tiki Bar [C]
26.11.2011 Stina Girs; On The Rocks [C]
10.12.2011 Within Temptation; Circus [C]
15.12.2011 Alavala; Semifinal [C]
16.12.2011 Anna Puu; Korjaamo [C]
21.12.2011 Viisi (akustinen); Pyhän sydämen kappeli [C]
30.12.2011 PMMP; Virgin Oil Co. [C]
18.1.2012  Nimetön; Bar Loose [C]
21.1.2012  Jonna Tervomaa (SähköDuo), Jukka Takalo; Aleksanterinteatteri [C]
21.1.2012  Chisu; Nosturi [C]
28.1.2012  Semi-Hevi; Kapakanmäki, Tuulos [C]
30.1.2012  Kokoaan suurempi Suomi 2012: Ultra Bra (ja muita); Jäähalli [C]
17.2.2012  Aino Venna, Suvi Isotalo; Semifinal [C]
23.2.2012  Kristiina Wheeler; Dubrovnik [C]
23.2.2012  Crazy World; Tavastia [MC]
24.2.2012  Anna Suominen, LUNK; Club Liberté [C]
25.2.2012  Husky Rescue; Tavastia [C]
10.3.2012  Nightwish; Jäähalli [C]
14.3.2012  Poklan muistokonsertti: Michael Monroe, Agents, Ismo Alanko, Kauko Röyhkä & Riku Mattila, Maija Vilkkumaa, Samuli Putro, Ne Luumäet, Samae Koskinen, Jonna Tervomaa + Jussi Jaakonaho, Timo Kotipelto (duo), Tuure Kilpeläinen & Kaihon Karavaani, Haloo Helsinki!, Mariska, Pasa, Kuningasidea, My First Band; Tavastia [MC]
16.3.2012  Magenta Skycode, Burning Hearts, Nightsatan; Tavastia [C]
21.3.2012  Leola, Nuria; Semifinal [C]
23.3.2012  Alavala (akustinen); Bar Base [C]
28.3.2012  Husky Rescue; Sellosali [C]
31.3.2012  Chisu; Savoy-teatteri [C]
2.3.2012   Clannad; Musiikkitalo [C]
4.4.2012   Stella; Tavastia [C]
5.4.2012   Teekkarispeksi 2012: Olipa kerran; Aleksanterinteatteri
11.4.2012  Rosa, Nimetön; Semifinal [C]
12.4.2012  Anna Suominen, Tuukka Pääskysaari, Kim Curly; Ravintola Pormestari [C]
18.4.2012  Sansa; Dubrovnik [C]
20.4.2012  Chisu; Amarillo, Porvoo [C]
26.4.2012  Palava (akustinen); Narinkka-tori [MC]
27.4.2012  Saara Aalto (akustinen); Nokia House [MC]
28.4.2012  Sansa (akustinen), Eva & Manu; Vintti, Korjaamo [C]
10.5.2012  Krista Siegfrids; Zetor [C]
18.5.2012  The Nits; Savoy-teatteri [C]
19.5.2012  Scandinavian Music Group; Tavastia [C]
29.5.2012  YL on Pop (feat. Maija Vilkkumaa); Savoy-teatteri [C]
30.5.2012  Viisi (feat. Maija Vilkkumaa); Teatteri Vanha Juko, Lahti [C]
30.5.2012  The Irrationals; On The Rocks [C]
1.6.2012   Irina; DTM [C]
7.6.2012   Viisi (feat. Maija Vilkkumaa); Gloria [C]
9.6.2012   Saaristo Open 2012: Within Temptation, Uriah Heep, Apulanta, Yö; Kuusistonsalmen ranta, Kaarina [C]
7.7.2012   Stina Girs; Amarillo, Espoo [C]
13.7.2012  Sansa; Telakka, Tampere [C]
14.7.2012  Jonna Tervomaa (SähköDuo); Ravintola Huttula, Joutsa [C]
27.7.2012  Angelina Gracie (akustinen); Semifinal [C]
27.7.2012  Ropecon 2012; Dipoli (3 days)
9.8.2012   PMMP; Tavastia [C]
10.8.2012  Olavi Uusivirta; Tavastia [C]
22.8.2012  Ashimba; Le Bonk [C]
24.8.2012  Sarca; Virgin Oil Co. [C]
30.8.2012  The Freza; Semifinal [C]
31.8.2012  Scandinavian Music Group; Virgin Oil Co. [C]
5.9.2012   Heli Kajo; Le Bonk [C]
8.9.2012   Tracon 7; Tampere-talo, Tampere (2 days)
14.9.2012  Iiris; Tavastia [C]
18.9.2012  Savanna, Pohjaton; Club Liberté [C]
19.9.2012  Mariska; Tavastia [C]
20.9.2012  Sestina, Lost Monkeys; On The Rocks [C]
22.9.2012  Chisu, Mariska; Kaapelitehdas [C]
9.10.2012  Lacuna Coil; Nosturi [C]
10.10.2012 Eva & Manu; Tavastia [C]
15.10.2012 Viisi; Louhisali, Espoon kulttuurikeskus [C]
17.10.2012 Sansa; Siltanen [C]
2.11.2012  Anna Puu; Sellosali [C]
2.11.2012  Haloo Helsinki!, Petra; Amarillo, Lohja [C]
8.11.2012  PMMP; Tavastia [C]
13.11.2012 Within Temptation; Sportpaleis, Antwerpen, Belgium [C]
24.11.2012 Alavala, Modernistit; Semifinal [C]
27.11.2012 Alavala (akustinen); Levykauppa Äx [C]
28.11.2012 Haloo Helsinki!, Petra; Tavastia [C]
29.11.2012 Alavala (akustinen); On The Rocks [C]
1.12.2012  Anna Puu; Virgin Oil Co. [C]
13.12.2012 Eva & Manu; Dubrovnik [C]
20.12.2012 Viisi (akustinen); Pyhän sydämen kappeli [C]
24.1.2013  Alavala; Henry's Pub, Tampere [C]
12.2.2013  Haloo Helsinki! (akustinen); Levykauppa Äx [C]
13.2.2013  Vesterinen yhtyeineen; Tavastia [C]
14.2.2013  Seamus, Espionnage; Bar Loose [C]
16.2.2013  Sansa, Kanerva; Semifinal [C]
16.2.2013  Suvi Teräsniska; Pressa [C]
19.2.2013  Seamus (akustinen); Levykauppa Äx [C]
27.2.2013  Seamus (akustinen); Albertin Kellari, Hämeenlinna [C]
1.3.2013   Seamus; Musiikkikahvila Sointu, Turku [C]
2.3.2013   Rent; Aleksanterinteatteri
7.3.2013   Seamus; Jack the Rooster, Tampere [C]
8.3.2013   Irina; Tulisuudelma [C]
9.3.2013   Eva & Manu; Gloria [C]
15.3.2013  Irina; Finlandia-klubi, Sibeliustalo, Lahti [C]
17.3.2013  Cirque du Soleil: Alegría; Hartwall Areena
20.3.2013  Caroline Street, Savanna, Amusia; Semifinal [C]
23.3.2013  Irina, Mikko Pohjola; Tavastia [C]
27.3.2013  Irina; YO-talo, Tampere [C]
5.4.2013   Husky Rescue; Tavastia [C]
6.4.2013   Alavala, Dead Cult Diaries; Bar Bäkkäri [C]
18.4.2013  Virpi Eroma; Semifinal [C]
20.4.2013  JED; Cafe Segeli (1), Kotka [C]
20.4.2013  JED; Cafe Segeli (2), Kotka [C]
23.4.2013  Tahdon 2013 tukikonsertti: Scandinavian Music Group, PMMP, Anna Puu, Pariisin Kevät, Kerkko Koskinen Kollektiivi, Olavi Uusivirta, Reino Nordin, Pola Ivanka; Tavastia [MC]
27.4.2013  Sansa, Dylan, Vuk; Gloria [C]
3.5.2013   Petra; Le Bonk [C]
5.5.2013   Super Sound of Video Games; Martinsali, Raisio [C]
9.5.2013   Anna Puu; Savoy-teatteri [C]
15.5.2013  Alavala; Bar Base [C]
17.5.2013  Indica; Pressa [C]
18.5.2013  Angelina Gracie; Semifinal [C]
22.5.2013  Pauliina Kokkonen ja Veljet; Semifinal [C]
8.6.2013   Stella, Matti Johannes Koivu; Tavastia [C]
14.6.2013  Jannika B; Le Bonk [C]
18.6.2013  Bomb Shelter Boys; Kaivohuone [C]
19.6.2013  Nimetön, Lähde; On The Rocks [C]
27.6.2013  Jukka Takalo, Hermanni Turkki; Liberté Livemusicclub Internazionale [C]
6.7.2013   Finncon 2013; Kaapelitehdas
12.7.2013  Petra, Sallan ja Miron matka maailman ympäri; Tavastia [C]
13.7.2013  JED; Cafe Segeli (1), Kotka [C]
13.7.2013  JED; Cafe Segeli (2), Kotka [C]
20.7.2013  Tammerfest: Irina, PMMP; Ratinanniemi, Tampere [C]
21.7.2013  Kirppusirkus-musikaali; Narrin näyttämö, Nuorisokeskus Happi
26.7.2013  Ropecon 2013; Dipoli (3 days)
27.7.2013  Within Temptation; Circus [C]
3.8.2013   The Tylers; Aleksin kesäjuhlat, Tuusula [C]
7.8.2013   Jonna Tervomaa (SähköDuo); Bar Loose [C]
9.8.2013   Stella; Virgin Oil Co. [C]
15.8.2013  PMMP; Tavastia [C]
17.8.2013  Haloo Helsinki!; Virgin Oil Co. [C]
20.8.2013  AiA; Karl Fazer Cafe [C]
23.8.2013  Sansa; Karl Fazer Cafe [C]
24.8.2013  Scandinavian Music Group, Topi Saha; Tavastia [C]
4.9.2013   Jonna Tervomaa (SähköDuo), Kanerva; Allotria [C]
7.9.2013   Stella; Kerubi, Joensuu [C]
19.9.2013  Jonna Tervomaa; Semifinal [C]
21.9.2013  Krista Siegfrids; Nosturi [C]
23.9.2013  Jonna Tervomaa; Louhisali, Espoon kulttuurikeskus [C]
28.9.2013  Angelina Gracie; Alakerta [C]
4.10.2013  Fish; Tavastia [C]
5.10.2013  Irina; Virgin Oil Co. [C]
6.10.2013  Robin; Tavastia [C]
9.10.2013  Alavala (akustinen); Bar Base [C]
20.10.2013 PMMP; Pääsali, Sibeliustalo, Lahti [C]
22.10.2013 Maggie Reilly; Kulttuuritalo [C]
24.10.2013 PMMP, Sallan ja Miron matka maailman ympäri; Logomo, Turku [C]
26.10.2013 PMMP, Pertti Kurikan nimipäivät; Jäähalli [C]
30.10.2013 Irina; Stoa [C]
30.10.2013 JED, Jessica Wolff; Hard Rock Cafe [C]
6.11.2013  Anna Puu; Sellosali [C]
8.11.2013  Jonna Tervomaa; Tavastia [C]
9.11.2013  Jenni Vartiainen; Circus [C]
21.11.2013 Angelina Gracie; Ravintola Pormestari [C]
22.11.2013 Sanni; Itis [C]
22.11.2013 Anna Puu; Le Bonk [C]
23.11.2013 Angelina Gracie; Semifinal [C]
27.11.2013 Sallad; Belge [C]
29.11.2013 JED; On The Rocks [C]
4.12.2013  The Sounds; Tavastia [C]
5.12.2013  Jenni Vartiainen; Tapiolasali, Espoon kulttuurikeskus [C]
5.12.2013  Jonna Tervomaa; Virgin Oil Co. [C]
6.12.2013  Scandinavian Music Group, Anna Puu, Yona ja Liikkuvat pilvet; Pakkahuone, Tampere [C]
11.12.2013 Nuria, The Hearing; Bar Loose [C]
13.12.2013 Jonna Tervomaa; Sellosali [C]
14.12.2013 Jenni Vartiainen; Kulttuuritalo [C]
14.12.2013 Haloo Helsinki!; Tavastia [C]
19.12.2013 Sanni; Tavastia [C]
20.12.2013 Jonna Tervomaa; YO-talo, Tampere [C]
25.1.2014  Michael Winslow; Kulttuuritalo
27.1.2014  Simple Minds; Circus [C]
6.2.2014   Jenni Vartiainen; Tavastia [C]
7.2.2014   Jenni Vartiainen; Tavastia [C]
7.2.2014   Indica; Tulisuudelma [C]
12.2.2014  Astrid Swan, Anni Pohto; Tavastia [C]
14.2.2014  Scandinavian Music Group; Sellosali [C]
21.2.2014  Alavala, Amusia; Semifinal [C]
26.2.2014  Within Temptation; Kaapelitehdas [C]
28.2.2014  Indica; Bar Loose [C]
6.3.2014   Sanni; Sellosali [C]
13.3.2014  Jonna Tervomaa; Stoa [C]
14.3.2014  Irina (akustinen); Rautatientori [MC]
18.3.2014  Espionnage, Katri Oikarinen; Mascot [C]
22.3.2014  JED; Britannia (Kannelmäki) [C]
23.3.2014  Maiden uniteD (acoustic); On The Rocks [C]
30.3.2014  JED; Britannia (Espoontori) [C]
7.4.2014   Teekkarispeksi 2014: Danse Macabre; Aleksanterinteatteri
11.4.2014  Jukka Takalon Maakinen Mysteeri Trio; Semifinal [C]
15.4.2014  Espionnage; Mbar [C]
19.4.2014  Anna Puu, Jukka Ässä; Tavastia [C]
25.4.2014  Jenni Vartiainen; Virgin Oil Co. [C]
30.4.2014  Indica, Auringon lapset; Tavastia [C]
2.5.2014   Sallan ja Miron matka maailman ympäri, Sarca; Bar Loose [C]
4.5.2014   Anna Puu; Savoy-teatteri [C]
15.5.2014  JED; On The Rocks [MC]
20.5.2014  Mikko Kosonen (Kitaradogma Live); Tavastia [C]
23.5.2014  Indica; Pressa [C]
28.5.2014  Scandinavian Music Group; YO-talo, Tampere [C]
29.5.2014  JED; On The Rocks [C]
30.5.2014  Scandinavian Music Group; Linnanmäki [C]
6.6.2014   Kivenlahtirock 2014: Within Temptation, UB40, Cheek; Leppävaaran urheilupuisto [C]
7.6.2014   Kivenlahtirock 2014: Jenni Vartiainen, Haloo Helsinki!, Uriah Heep; Leppävaaran urheilupuisto [C]
19.6.2014  Scandinavian Music Group; Tavastia [C]
27.6.2014  Alavala, Jo Meares; Bar Loose [C]
4.7.2014   Duo J&S; Club Liberté [C]
6.8.2014   Saara Aalto + Zhu Jing; Storyvillen puisto [C]
18.7.2014  Indica; Le Bonk [C]
20.7.2014  Monty Python Live (mostly); Tennispalatsi
25.7.2014  Ropecon 2014; Dipoli (3 days)
14.8.2014  Indica (akustinen); Turun tuomiokirkko, Turku [C]
21.8.2014  MIAU; Zetor [C]
22.8.2014  Pelimusiikkikonsertti: Helsingin kaupunginorkesteri; Musiikkitalo [C]
30.8.2014  Sanni; Virgin Oil Co. [C]
8.9.2014   Scandinavian Music Group (kvartetti); Kom-ravintola [C]
13.9.2014  Tracon 9; Tampere-talo, Tampere (2 days)
18.9.2014  Jonna Tervomaa; Tavastia [C]
20.9.2014  Indica; On The Rocks [C]
20.9.2014  The Irrationals; Kuudes linja [C]
25.9.2014  Jessica Wolff; Gloria [C]
26.9.2014  Eva & Manu, Lucie Niemelä; Kanneltalo [C]
27.9.2014  Kuningasidea; Tavastia [C]
30.9.2014  Indica; Dipoli [C]
2.10.2014  Hanna-Maaria Tuomela; Public Corner (Mikonkatu) [C]
2.10.2014  Alavala; Semifinal [C]
3.10.2014  Poets of the Fall; Tavastia [C]
11.10.2014 Jaani Peuhu, Rain Diary; Bar Loose [C]
16.10.2014 Jenni Vartiainen; Tavastia [C]
17.10.2014 Jenni Vartiainen; Tavastia [C]
18.10.2014 Petra; On The Rocks [C]
23.10.2014 Alavala; On The Rocks [C]
1.11.2014  Jenni Vartiainen; Verkatehdas, Hämeenlinna [C]
1.11.2014  Apulanta; Sirkus, Hämeenlinna [C]
6.11.2014  Video Games Live; Jäähalli [C]
15.11.2014 Eva & Manu; Tavastia [C]
16.11.2014 Jenni Vartiainen; Tapiolasali, Espoon kulttuurikeskus [C]
20.11.2014 Uma; Semifinal [C]
28.11.2014 Roxette; Hartwall Areena [C]
29.11.2014 Irina; Tavastia [C]
6.12.2014  Scandinavian Music Group; Circus [C]
12.12.2014 Calf; Vantaan kaupunginmuseo [C]
17.12.2014 Sallan ja Miron matka maailman ympäri; Bar Loose [C]
19.12.2014 Jenni Vartiainen; Finlandia-talo [C]
20.12.2014 Magenta Skycode; Logomo-teatteri, Turku [C]
20.12.2014 Viisi (akustinen); Pyhän sydämen kappeli [C]
28.12.2014 Vain Elämää 2014; Hartwall Areena [C]
19.1.2015  Irina; Grand Casino [C]
23.1.2015  Kerkko Koskinen Kollektiivi; Tavastia [MC]
23.1.2015  Alavala; Le Bonk [C]
20.2.2015  Irina; Finlandia-klubi, Sibeliustalo, Lahti [C]
21.2.2015  Scandinavian Music Group; Tavastia [C]
23.2.2015  Anneke van Giersbergen + Arjen Lucassen, Manna; Nosturi [C]
25.2.2015  Sallan ja Miron matka maailman ympäri, Katri Ylander; Bar Loose [C]
6.3.2015   Haloo Helsinki!; Tavastia [C]
7.3.2015   Haloo Helsinki!; Tavastia [C]
12.3.2015  Cirque du Soleil: Quidam; Hartwall Areena
22.3.2015  Jaani Peuhu (acoustic); Gloria [MC]
25.3.2015  Sallan ja Miron matka maailman ympäri, Elia; Bar Loose [C]
26.3.2015  Scandinavian Music Group (akustinen); Le Bonk [C]
3.4.2015   Irina, Modernistit; Virgin Oil Co. [C]
16.4.2015  Jonna Tervomaa (SähköDuo); Sir Eino [C]
17.4.2015  Kaija Koo; Circus [C]
23.4.2014  Viisi; Savoy-teatteri [C]
24.4.2015  Jenni Vartiainen; Tampere-talo, Tampere [C]
30.4.2015  Jenni Vartiainen, Elias Kaskinen; Nosturi [C]
7.5.2015   Eva & Manu; Tavastia [C]
9.5.2015   Maija Vilkkumaa; Mediapolis, Tampere [C]
15.5.2015  Ropecon 2015; Dipoli (3 days)
20.5.2015  The Nits; Savoy-teatteri [C]
21.5.2015  Alasti-klubi: Anna Puu (akustinen); Le Bonk [C]
27.5.2015  Ellinoora; Bar Loose [C]
30.5.2015  Sisters Ink, Beverly Girl; On The Rocks [MC]
30.5.2015  Jaani Peuhu; Semifinal [C]
30.5.2015  Irina; Pressa [C]
6.6.2015   Emppu (akustinen); Olarin Kamelit (1) [C]
6.6.2015   Emppu (akustinen); Olarin Kamelit (2) [C]
12.6.2015  Jenni Vartiainen; Kaisaniemi [C]
24.7.2015  Within Temptation; Kotkan Meripäivät, Kotka [C]
30.7.2015  Porvoo Popfest: Jenni Vartiainen, Haloo Helsinki!; Näsi, Porvoo [C]
31.7.2015  Scandinavian Music Group, Ellinoora; Nosturi [C]
17.8.2015  Reeta Vestman: Best of West (akustinen); Karl Fazer Cafe [C]
17.8.2015  Vilma Alina; Shanghai Cowboy [C]
21.8.2015  Maija Vilkkumaa; Virgin Oil Co. [C]
1.9.2015   Thinkfest: Maija Vilkkumaa, Roope Salminen ja Koirat; Tavastia [C]
3.9.2015   Ellinoora; Henry's Pub [C]
5.9.2015   Tracon X; Tampere-talo, Tampere (2 days)
11.9.2015  Eva & Manu (silent gig); Nosturi [C]
